Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes,OutgoingCashLink
"73","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.7","0","0","2021-11-16 GMT+0200","17:10:00",,"Dividend","FIFO",,,
"74","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.7","0","0","2022-02-15 GMT+0200","18:31:00",,"Dividend","FIFO",,,
"75","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.89","0","0","2022-05-16 GMT+0200","16:14:00",,"Dividend","FIFO",,,
"76","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.89","0","0","2022-08-15 GMT+0200","15:45:00","0","Dividend","FIFO",,,
"77","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.89","0","0","2022-11-15 GMT+0200","07:32:00","0","Dividend","FIFO",,,
"78","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","3.89","0","0","2023-02-16 GMT+0200","03:56:00","0","Dividend","FIFO",,,
"79","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","4","0","0","2023-05-15 GMT+0200","17:56:00","0","Dividend","FIFO",,,
"80","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","4","0","0","2023-08-15 GMT+0200","16:01:00","0","Dividend","FIFO",,,
"81","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","4","0","0","2023-11-15 GMT+0200","17:30:00","0","Dividend","FIFO",,,
"82","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","4","0","0","2024-02-15 GMT+0200","16:25:00","0","Dividend","FIFO",,,
"83","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","4.28","0","0","2024-05-15 GMT+0200","19:06:00","0","Dividend","FIFO",,,
"84","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","4.28","0","0","2024-08-16 GMT+0200","03:42:00","0","Dividend","FIFO",,,
"85","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","4.28","0","0","2024-11-15 GMT+0200","16:52:00","0","Dividend","FIFO",,,
"86","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","0","164.81","9.95","2025-01-24 GMT+0200","21:30:00","0","Sell All","FIFO",,,
"87","PG","Procter & Gamble Company (The)","Procter & Gamble","NYQ","TFSA","USD","4.28","0","0","2025-02-18 GMT+0200","18:21:00","0","Dividend","FIFO",,,

"88","0P0000A0FH.TO","Rbc Global Precious Metals Fund D","RBC Global Precious Metals Fund D","TOR","TFSA","CAD",,,,,,,,,,,
"89","0P0000A0FH.TO","Rbc Global Precious Metals Fund D","RBC Global Precious Metals Fund D","TOR","TFSA","CAD","18.561","53.87640752","0","2020-02-25 GMT+0200","07:00:00",,"Buy",,,,
"90","0P0000A0FH.TO","Rbc Global Precious Metals Fund D","RBC Global Precious Metals Fund D","TOR","TFSA","CAD","18.561","75.517","0","2020-08-12 GMT+0200","14:22:00",,"Sell","FIFO",,,

"91","CAD=CASH","CAD",,,"TFSA","CAD",,,,,,,,,,,
"92","CAD=CASH","CAD",,,"TFSA","CAD","0.001","0","0","2026-04-15 GMT+0200","15:36:00",,"Buy",,,,

"93","USD=CASH","USD",,,"TFSA","USD",,,,,,,,,,,
"94","USD=CASH","USD",,,"TFSA","USD","344.41","0","0","2026-04-15 GMT+0200","14:31:00",,"Buy",,,,

"95","MSGS","Madison Square Garden Sports Co","Madison Square Garden","NYQ","TFSA","USD",,,,,,,,,,,
"96","MSGS","Madison Square Garden Sports Co","Madison Square Garden","NYQ","TFSA","USD","3","171.1","9.95","2020-06-10 GMT+0200","06:00:00",,"Buy",,,,
"97","MSGS","Madison Square Garden Sports Co","Madison Square Garden","NYQ","TFSA","USD","3","180.7301","9.95","2021-09-07 GMT+0200","21:25:00",,"Sell","FIFO",,,

"98","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD",,,,,,,,,,,
"99","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","8","56.6399","9.95","2020-06-10 GMT+0200","06:00:00","1.34218","Buy",,,,
"100","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","6.41","0","0","2020-08-27 GMT+0200","01:12:00",,"Dividend","FIFO",,,
"101","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","6.49","0","0","2020-11-26 GMT+0200","15:24:00",,"Dividend","FIFO",,,
"102","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","6.7","0","0","2021-02-26 GMT+0200","17:08:00",,"Dividend","FIFO",,,
"103","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","6.99","0","0","2021-05-26 GMT+0200","17:34:00",,"Dividend","FIFO",,,
"104","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","6.7","0","0","2021-08-26 GMT+0200","23:00:00",,"Dividend","FIFO",,,
"105","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","6.67","0","0","2021-11-26 GMT+0200","16:47:00",,"Dividend","FIFO",,,
"106","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","7","116.68","9.95","2022-01-12 GMT+0200","17:05:00","1.257895","Buy",,,,
"107","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","15.63","0","0","2022-02-28 GMT+0200","17:35:00",,"Dividend","FIFO",,,
"108","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","15.49","0","0","2022-05-26 GMT+0200","20:57:00","0","Dividend","FIFO",,,
"109","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","16.05","0","0","2022-08-26 GMT+0200","06:25:00","0","Dividend","FIFO",,,
"110","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","15.52","0","0","2022-11-28 GMT+0200","07:32:00","0","Dividend","FIFO",,,
"111","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","15.73","0","0","2023-03-01 GMT+0200","03:54:00","0","Dividend","FIFO",,,
"112","BMO","Bank Of Montreal","Bank of Montreal","NYQ","TFSA","USD","15.66","0","0","2023-05-26 GMT+0200","18:57:00","0","Dividend","FIFO",,,
